Type,Start Date,End Date,Geometry
ROAD_CLOSURE,2020-08-03T05:56:58,2020-08-03T10:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T05:56:17,2020-08-03T10:55:50,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T05:56:58,2020-08-03T10:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T06:08:16,2020-08-03T11:06:50,"LINESTRING (101.61385 3.02326, 101.61387 3.02342, 101.61389 3.02356, 101.61392 3.02371)"
ROAD_CLOSURE,2020-08-03T12:16:32,2020-08-03T17:15:52,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T11:56:58,2020-08-03T16:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T11:56:58,2020-08-03T16:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T11:56:58,2020-08-03T16:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T11:56:58,2020-08-03T16:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
CONSTRUCTION,2020-08-03T14:00:46,2020-08-03T22:00:00,"LINESTRING (101.63083 3.21296, 101.63076 3.21277, 101.63071 3.21259, 101.63069 3.21251, 101.63067 3.21242, 101.63066 3.21234)"
CONSTRUCTION,2020-08-03T14:00:46,2020-08-03T22:00:00,"LINESTRING (101.65855 3.20915, 101.6587 3.20942)"
ROAD_CLOSURE,2020-08-03T14:00:46,2020-08-17T15:00:00,"LINESTRING (101.61314 3.16334, 101.6133 3.16335, 101.61378 3.1636, 101.61393 3.16365, 101.6141 3.16372, 101.61425 3.1638, 101.61441 3.16394)"
CONSTRUCTION,2020-08-03T14:00:46,2020-08-03T22:00:00,"LINESTRING (101.63025 3.21183, 101.63035 3.21192, 101.6304 3.21196, 101.63045 3.21197, 101.6305 3.21198, 101.63064 3.21197)"
